35234,QUEDILLAC,35290,"",QUEDILLAC,"48.2378252875,-2.14354106551",352.34
35302,ST ONEN LA CHAPELLE,35290,"",ST ONEN LA CHAPELLE,"48.1695046488,-2.1556915013",353.02
35201,MUEL,35290,"",MUEL,"48.119750069,-2.16170563295",352.01
35297,ST MEEN LE GRAND,35290,"",ST MEEN LE GRAND,"48.1925581351,-2.19497591455",352.97
35091,LE CROUAIS,35290,"",LE CROUAIS,"48.2095149128,-2.15053922323",350.91
35117,GAEL,35290,"",GAEL,"48.1184219135,-2.22847304876",351.17
35115,FOUGERES,35300,"",FOUGERES,"48.3524697115,-1.19431177241",351.15
35076,CHAVAGNE,35310,"",CHAVAGNE,"48.0561574005,-1.78649242036",350.76
35080,CINTRE,35310,"",CINTRE,"48.108708615,-1.88667263001",350.8
35319,ST THURIAL,35310,"",ST THURIAL,"48.0335297683,-1.94037369583",353.19
35037,BREAL SOUS MONTFORT,35310,"",BREAL SOUS MONTFORT,"48.044637167,-1.86571618785",350.37
35196,MORDELLES,35310,"",MORDELLES,"48.0857602983,-1.84210731238",351.96
35030,LA BOSSE DE BRETAGNE,35320,"",LA BOSSE DE BRETAGNE,"47.8682982413,-1.58824965901",350.3
35090,CREVIN,35320,"",CREVIN,"47.9303708982,-1.65657334896",350.9
35140,LALLEU,35320,"",LALLEU,"47.8562627684,-1.52230618592",351.4
35212,PANCE,35320,"",PANCE,"47.8889653573,-1.64257071034",352.12
35231,POLIGNE,35320,"",POLIGNE,"47.8990359513,-1.68518288272",352.31
35089,LA COUYERE,35320,"",LA COUYERE,"47.8939265628,-1.50149818667",350.89
35321,SAULNIERES,35320,"",SAULNIERES,"47.9194668221,-1.57761100368",353.21
35322,LE SEL DE BRETAGNE,35320,"",LE SEL DE BRETAGNE,"47.8978195482,-1.60609578245",353.22
35343,TRESBOEUF,35320,"",TRESBOEUF,"47.8809229293,-1.55314201505",353.43
35218,LE PETIT FOUGERAY,35320,"",LE PETIT FOUGERAY,"47.9280508952,-1.61613769556",352.18
35035,BOVEL,35330,"",BOVEL,"47.9563331223,-1.95993951204",350.35
35084,COMBLESSAC,35330,"",COMBLESSAC,"47.872461539,-2.08792248915",350.84
35168,VAL D ANAST,35330,CAMPEL,VAL D ANAST,"47.8971012974,-1.99867854689",351.68
35311,ST SEGLIN,35330,"",ST SEGLIN,"47.8510645344,-2.02652054855",353.11
35057,LA CHAPELLE BOUEXIC,35330,"",LA CHAPELLE BOUEXIC,"47.9365752557,-1.92323342783",350.57
35175,MERNEL,35330,"",MERNEL,"47.8982561483,-1.95140326249",351.75
35160,LOUTEHEL,35330,"",LOUTEHEL,"47.9372074975,-2.08044398757",351.6
35046,LES BRULAIS,35330,"",LES BRULAIS,"47.8907025068,-2.05725373415",350.46
35168,VAL D ANAST,35330,MAURE DE BRETAGNE,VAL D ANAST,"47.8971012974,-1.99867854689",351.68
35031,LA BOUEXIERE,35340,"",LA BOUEXIERE,"48.1743733249,-1.43646357128",350.31
35107,ERCE PRES LIFFRE,35340,"",ERCE PRES LIFFRE,"48.2542003303,-1.51716704496",351.07
35152,LIFFRE,35340,"",LIFFRE,"48.204097581,-1.51420907793",351.52
35122,LA GOUESNIERE,35350,"",LA GOUESNIERE,"48.6030701902,-1.88737306807",351.22
35299,ST MELOIR DES ONDES,35350,"",ST MELOIR DES ONDES,"48.6387125438,-1.90517612803",352.99
35263,ST COULOMB,35350,"",ST COULOMB,"48.677369423,-1.92087004371",352.63
